Sub-Category,Sales,Region,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Tables,24.368000000000002,West,CA-2019-131492,Second Class,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,FUR-TA-10003837,Furniture,Anderson Hickey Conga Table Tops & Accessories
Tables,35.445,West,CA-2018-109827,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Phoenix,Arizona,FUR-TA-10002607,Furniture,KI Conference Tables
Tables,35.544000000000004,West,CA-2017-105725,Standard Class,GT-14755,Guy Thornton,Consumer,United States,Long Beach,California,FUR-TA-10001676,Furniture,Hon 61000 Series Interactive Training Tables
Tables,70.98,West,CA-2019-142888,Standard Class,BP-11230,Benjamin Patterson,Consumer,United States,Spokane,Washington,FUR-TA-10004767,Furniture,Safco Drafting Table
Tables,71.08800000000001,West,CA-2018-126165,Second Class,AH-10465,Amy Hunt,Consumer,United States,San Francisco,California,FUR-TA-10001676,Furniture,Hon 61000 Series Interactive Training Tables
Tables,71.08800000000001,West,CA-2018-164889,Second Class,CP-12340,Christine Phan,Corporate,United States,Los Angeles,California,FUR-TA-10001676,Furniture,Hon 61000 Series Interactive Training Tables
Tables,71.08800000000001,West,CA-2019-137505,Same Day,BP-11290,Beth Paige,Consumer,United States,Los Angeles,California,FUR-TA-10001676,Furniture,Hon 61000 Series Interactive Training Tables
Tables,73.915,West,CA-2016-138177,Standard Class,ND-18460,Neil Ducich,Corporate,United States,Chandler,Arizona,FUR-TA-10004607,Furniture,Hon 2111 Invitation Series Straight Table
Tables,99.592,West,CA-2016-150581,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,Concord,California,FUR-TA-10003748,Furniture,Bevis 36 x 72 Conference Tables
Tables,136.46400000000003,West,CA-2018-156265,Second Class,BF-11020,Barry Französisch,Corporate,United States,Los Angeles,California,FUR-TA-10001691,Furniture,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops"
Tables,143.432,West,CA-2016-157882,Second Class,AR-10405,Allen Rosenblatt,Corporate,United States,Los Angeles,California,FUR-TA-10001866,Furniture,Bevis Round Conference Room Tables and Bases
Tables,145.98,West,CA-2016-164210,Second Class,PW-19240,Pierre Wener,Consumer,United States,Louisville,Colorado,FUR-TA-10000849,Furniture,Bevis Rectangular Conference Tables
